15,"His memory was a good deal better about White House management of the DNC , especially its fund-raising operations .",His memory,was a good deal better about,White House management of the DNC
16,"But the poverty rate for people 18 to 64 rose a half percentage point , to 10.1 percent .",the poverty rate,rose,a half percentage point
17,"In broad terms , the statement released by Mar 'ie addressed these concerns .",Mar,addressed,these concerns
18,"Hot-rolled and cold-rolled sheet , which has a smoother finish and is used on the outside of autos and appliances , account for about half of all U.S. steel shipments .",Hot-rolled,which has is used on,the outside of autos and appliances
19,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment .",consumers,have decided,they
20,It was an area in central Bosnia that Melnick knew well .,It,was an area in,central Bosnia
21,Some historians and the Turkish government have disputed claims of an organized genocide and the numbers of Armenians killed .,Some historians,have disputed,claims of an organized genocide
22,Deputies said that as many as 57 deputies who were members of Fatah let Arafat know in a meeting Tuesday night that they intended to vote against him .,members of Fatah,let,Arafat
23,"Organizations in the 33 states can use the grants announced today for both education and enforcement efforts -- including funding for enforcement , housing counseling and other activities that will promote fair housing , Clinton said .",other activities,that will promote,fair housing
24,Those close to the company say Tigrett lost support on the board last year when the company took a big hit in the wake of a $ 15 million extravaganza at last year 's Summer Olympics .,Tigrett,lost took,a big hit
25,Some think the blend is more weighted toward expedience .,the blend,is weighted toward,expedience
26,"Katzenberg , for example , is feuding with former employer Disney , which he sued for $ 250 million , claiming he was denied his cut of the Disney animated films he helped make .",he,was denied,he
27,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service .",A Spanish official,had finished,a siesta
28,"When speed is your life , the race never ends .",speed,is,your life
29,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment .",they,are salting money away for,retirement
30,"To do so , Selig will have to overcome strong feelings on both sides .",Selig,will have to overcome,strong feelings
31,"Ruiz hopes Lewis 's decision will give light heavyweight champion Roy Jones Jr. the impetus to take on Ruiz Dec. 7 on HBO , the idea being that the winner would fight the winner of the WBA title next spring .",light heavyweight champion Roy Jones Jr.,to take,the idea
32,"Complete with health spa , three restaurants and 363 rooms in a variety of traditional furnishings , it is dominated by a six-story rotunda .",it,is dominated by,a six-story rotunda
33,Koplowitz 's next concert will be a more modest affair and presented indoors at Dance Theater Workshop in May .,Koplowitz 's next concert,will be presented at,Dance Theater Workshop
34,"Pat Day , the winning jockey , agreed that Royal Indy had been `` a little hot and nervous '' before the race , but added : `` She always seems to be like that , so I was n't that concerned .",a little hot and nervous ' ' before the race,but added,She
35,"The company , Hydra Biosciences , is largely based on the work of Dr. Mark T. Keating , a founder of the company and a biologist at Harvard who studies regeneration in zebrafish .","The company , Hydra Biosciences",is based on,the work of Dr. Mark T. Keating
36,The event fizzled after the bombing that rocked the games .,The event,fizzled after,the bombing
37,"Hydra , of Cambridge , Mass. , is named after a pond-dwelling creature that can grow two wholes after being sliced in half .",Hydra,is named after,a pond-dwelling creature
38,Jim Suydam writes for the Austin American-Statesman .,Jim Suydam,writes for,the Austin American-Statesman
39,"The announcement , which came only days after a visit to Pyongyang by Japan 's prime minister , Junichiro Koizumi , marked a significant change of strategy for the administration , which had terminated similar negotiations pursued with North Korea by President Bill Clinton shortly before he left office .",The announcement,marked,a significant change of strategy
40,The Stars have a team incentive plan in place that awards bonuses on a years-played basis .,a team incentive plan,awards,bonuses
41,"Oakland , in need of a catcher after trading Ramon Hernandez to San Diego , acquired Michael Barrett from Montreal for a player to be named later .",Ramon Hernandez,acquired Michael Barrett from,Montreal
42,"Dell Computer said it 's adding 25 million shares to its stock repurchase program , for a total of 125 million shares , almost a third of its 383 million outstanding as of last quarter .",Dell Computer,said,it
43,"It has outstanding stock options that could swell its roster of shares by 15 percent , and thus reduce earnings per share .",its roster of shares,thus reduce earnings per,share
44,"Beyond these practical considerations , there are other factors that can affect quality of life .",other factors,can affect quality of,life
45,"For their part , investors kept selling off stocks in trading and deregulated power companies , spurred Monday by negative news for El Paso Corp. Better yet , Miller and Roy Oswalt have won 19 straight decisions , and since July 1 , they 're a combined 21-1 with a 2.41 ERA.",Miller,have won,they
46,"The North Korean leader , Kim Jong Il , promptly satisfied Japan 's demands , although not in the way Japan 's overly confident diplomats had imagined .",The North Korean leader,promptly satisfied,Japan 's demands
47,"For one thing , members of Congress and their staffs have a traditional `` defined benefit '' program , meaning that they know exactly what they 'll get upon retirement .",they,get upon,retirement
48,"Space business will boom , he said , if the federal government will leave it largely unregulated .",he,will leave,it
49,"Just weeks after the victory over United Parcel Service of America Inc. , a federal overseer was entangled in a fund-raising scandal among Carey aides and resigned , leaving in doubt Carey 's eligibility to run in a new election -- as well as its timetable .",Just weeks,was entangled in,a fund-raising scandal
50,"Some city tests of the water have indeed found small traces of crude oil , and during the trial this summer , Jeff Davis , who supervised a water-pipe replacement in the early 1990s , testified : `` Ooze was coming out of the side next to the water line , and there were pools of oil at the bottom .",Some city tests of the water,have found,the trial
51,"Nancy Cole , the president of ETS , says that the company is aware that its nonprofit status is a source of concern , particularly to outsiders , as the testing service increases its competition with for-profit businesses .",its nonprofit status,is,a source of concern
52,"For their part , investors kept selling off stocks in trading and deregulated power companies , spurred Monday by negative news for El Paso Corp. Better yet , Miller and Roy Oswalt have won 19 straight decisions , and since July 1 , they 're a combined 21-1 with a 2.41 ERA.",deregulated power companies,spurred,Monday
53,"The Mariners ' oldest players -- Edgar Martinez , Jamie Moyer , John Olerud and Mark McLemore -- have been among the most productive , though Martinez and McLemore have had injury problems .",Martinez and McLemore,have had,injury problems
54,The spread between the notional yield on the most active 10-year Japanese government bond futures contract and the seven-year swap rate was little changed from yesterday at 42 basis points .,the seven-year swap rate,was little changed from,yesterday
55,"You likely have all but one of the ingredients in }72847:929434:77 ;*4292092607 ;0940:477973 :4219 9:06309227921482 1: :10941066 7:722d table salt , water , ammonia and laundry bluing .",You,likely have,all but one of the ingredients
56,The Hearst News Service has filed or will file the following for Wednesday .,The Hearst News Service,will file,the following
57,His mother said he was in Saudi Arabia on Sept. 11 .,he,was in Arabia on,Sept. 11
58,That creature was in turn named for the mythical multiheaded serpent that regrew new heads when one was cut off .,turn,named for,the mythical multiheaded serpent
59,"Hot-rolled and cold-rolled sheet , which has a smoother finish and is used on the outside of autos and appliances , account for about half of all U.S. steel shipments .",cold-rolled sheet,which has,a smoother finish
60,The exchange next year even may permit growers to trade directly in the market instead of being forced to deal with the 12 market makers authorized by the exchange .,the 12 market makers,authorized by,the exchange
61,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country .",he,was,a first step
62,"Instead of converging on the meeting place , Hall and Sax both approached from the same direction .",Hall and Sax,approached from,the same direction
63,"Four years later , workers still clear rubble from the site of Ufundi House , although the Cooperative Bank Building has been completely renovated and the site of the embassy has been turned into a park , a memorial to the victims of that day .",workers,has been turned into park,a memorial
64,"Should caulking be done at the time of the reglazing or after , at a cost of $ 70 ? JUDY FRIEDMAN , West Roxbury ENDIT We must continue to lead by example .",caulking,be done at,the time of the reglazing or after
65,SLOW RETURN : Carroll said he would hold tailback Justin Fargas out of practice to make sure they are available for next week 's game with Colorado .,he,would hold,tailback Justin Fargas
66,"Pat Day , the winning jockey , agreed that Royal Indy had been `` a little hot and nervous '' before the race , but added : `` She always seems to be like that , so I was n't that concerned .",Pat Day,agreed had hot before,the race
67,"Confusingly , hurricanelike tropical cyclones born over the southwestern Pacific and the Indian Ocean are usually called just `` cyclones '' in the media .",hurricanelike tropical cyclones,are called,just `` cyclones
68,I only smoke one .,I,only smoke,one
69,"For this year , Thailand is bracing for growth of only 3 percent or even a recession ; the Philippines expects gross domestic product to grow 5.55 percent ; Standard &AMP ; Poor 's expects Malaysia to grow 7 percent ; Indonesia 's economy is expected to expand 7 percent and Singapore 's between 6 percent and 7 percent .",Indonesia 's economy,is expected to expand,7 percent
70,"For one thing , members of Congress and their staffs have a traditional `` defined benefit '' program , meaning that they know exactly what they 'll get upon retirement .",their staffs,have,a traditional `` defined benefit '' program
71,"For their part , investors kept selling off stocks in trading and deregulated power companies , spurred Monday by negative news for El Paso Corp. Better yet , Miller and Roy Oswalt have won 19 straight decisions , and since July 1 , they 're a combined 21-1 with a 2.41 ERA.",Roy Oswalt,have won,' re
72,"As for labeling the products flops as Pecoriello did , Reilly said : `` It 's very early days to count on the success of brands that were launched just this summer .",Pecoriello,said,It
73,"Nancy Cole , the president of ETS , says that the company is aware that its nonprofit status is a source of concern , particularly to outsiders , as the testing service increases its competition with for-profit businesses .",its nonprofit status,is,source of concern
74,The benchmark 30-year bond rose 3,The benchmark 30-year bond,rose,3\
75,"Spurred by requests from customers , health food stores started calling their suppliers yesterday looking for the sprouts , which are n't commercially available .",health food stores,started calling their suppliers yesterday looking for,the sprouts
76,"The announcement , which came only days after a visit to Pyongyang by Japan 's prime minister , Junichiro Koizumi , marked a significant change of strategy for the administration , which had terminated similar negotiations pursued with North Korea by President Bill Clinton shortly before he left office .",The announcement,which came only,days
77,"In March , prices rose $ 2.50 per 1,000 cigarettes at wholesale , which equaled about 5 cents a pack for premium cigarettes at retail .",prices,rose,$2.50
78,"Esaka and six other top executives will quit to take responsibility for 67.28 million yen in payoffs to corporate racketeer Ryuichi Koike , 54 .",Esaka,will quit to take,responsibility
79,"Continuing to maintain his innocence of terrorism charges , Salim said the stabbing was unrelated to the escape plan and stemmed instead from his dissatisfaction with his lawyers .",the stabbing,stemmed from,his dissatisfaction
80,Ratner has been one of the most aggressive builders in the city in recent years and he needs government approval for many of his projects .,Ratner,has been one of,the most aggressive builders
81,"NYT News Service And when `` Presidio Med '' fills the time between those scenes with even more stock situations , it may be a sign that it 's time for a moratorium on medical dramas , if not for complete euthanasia .",NYT News Service,fills,the time
82,"Helou joins a number of top writers like Claudia Roden , Paula Wolfert and Nancy Harmon Jenkins , in making the Mediterranean the focus of their studies .",Helou,joins a number of,top writers
83,"Hot-rolled and cold-rolled sheet , which has a smoother finish and is used on the outside of autos and appliances , account for about half of all U.S. steel shipments .",Hot-rolled,which has,a smoother finish
84,"Four years later , workers still clear rubble from the site of Ufundi House , although the Cooperative Bank Building has been completely renovated and the site of the embassy has been turned into a park , a memorial to the victims of that day .",the site of the embassy,has been turned into,a park
85,"Its commercial spine , 18th Avenue , is chock full of pork and pasta stores and the Italian colors of green , white and red everywhere .",Its commercial spine,is chock full of,pork and pasta stores
86,"Led by Guy Hands , managing director for Nomura International 's Principal Finance Group , the unit has completed more than $ 11 billion in securitizations since 1995 , including the 944 million pound securitization of Angel Trains , which the U.K. government sold as part of its rail privatization program ; the 904 million pound securitization of Annington Homes , a group of 57,000 British military houses ; and the 249 million pound securitization of the Phoenix Inns pub chain Nomura also bought from GrandMet and Fosters .",the unit,has completed more than,$ 11 billion
87,"Just weeks after the victory over United Parcel Service of America Inc. , a federal overseer was entangled in a fund-raising scandal among Carey aides and resigned , leaving in doubt Carey 's eligibility to run in a new election -- as well as its timetable .",a federal overseer,was entangled in,a fund-raising scandal
88,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law .",These immigrants,deserve,consideration
89,"The yield spread between an index of option-free 10-year `` A2 '' bank bonds and the 10-year Treasury note was 70 basis points yesterday , 2 basis points wider from a week earlier .",The yield spread,was wider,2 basis points
90,"With some prompting from his own earlier deposition on this issue , Fowler acknowledged that Harold Ickes , who was deputy chief of staff , had the strongest voice in directing the DNC finance division from the White House .",deputy chief of staff,had,the strongest voice
91,Pageant officials do not release the winner 's name of the preliminary interview contest until within hours of Saturday night 's final competition .,Pageant officials,do not release winner 's name of the preliminary interview contest until within,hours of Saturday night 's final competition
92,The benchmark 30-year bond rose 3,The benchmark 30-year bond,rose,3
93,"And as city officials scrambled to recruit new foster parents , they found themselves struggling to find homes for teen-agers , children suffering from psychological disorders , young mothers with babies and large groups of siblings .",children,suffering from,psychological disorders
94,Intel Corp. rose 1 13,Intel Corp.,rose,1 13 
95,I 've been here 19 years and it 's never been a good time .,it,'s never been,a good time
96,I 've been here 19 years and it 's never been a good time .,I,'ve been here,19 years
97,"With some prompting from his own earlier deposition on this issue , Fowler acknowledged that Harold Ickes , who was deputy chief of staff , had the strongest voice in directing the DNC finance division from the White House .",Harold Ickes,had the strongest voice in directing the DNC finance division from,the White House
98,"Or it can maintain and expand a safety net that is already larger than many people had thought , possibly giving more discouraged workers reason to depend on a government check .",it,can maintain and expand,a safety net
99,"The subject was a Lakers four-peat - a campaign that begins one week from today , when the Lakers open training camp in El Segundo .",The subject,was four-peat,a campaign
100,"Region prospers While a successful Teamsters union strike last month was viewed as a comeback for U.S. labor , the turmoil surrounding President Ron Carey casts doubt on its future .",last month,was viewed as,a comeback
101,"Type in your ZIP code and fill out the easy questionnaire , and you 'll get side-by-side comparisons for plans in your area .",Type,fill out,the easy questionnaire
102,"Edge Rams Offensive linemen `` Texans are passionate about cooking briskets , '' McAdams adds .",Edge Rams Offensive linemen,are,briskets
103,Biondi said that Kay Koplovitz would remain as chairwoman of the company .,Kay Koplovitz,would remain as,chairwoman of the company
104,"ONE OF THOSE DAYS FOR JARRETT Worn out by the travel and discouraged by agency 's perpetual financial difficulties and the intractable nature of the Palestinian problem , Rennie retired in 1977 at 60 .",Rennie,retired in,1977
105,"Katzenberg , for example , is feuding with former employer Disney , which he sued for $ 250 million , claiming he was denied his cut of the Disney animated films he helped make .",he,was denied,his cut of the Disney animated films
106,That creature was in turn named for the mythical multiheaded serpent that regrew new heads when one was cut off .,the mythical multiheaded serpent,regrew,new heads
107,"Born in New York City to Greek parents , she returned with her mother to Greece at 14 and entered the conservatory in Athens .",she,entered,the conservatory
108,"The company exported 2.13 million barrels a day of crude oil , and 966,000 barrels a day of refined products .",The company,exported million barrels,a day of crude oil
109,Sprint Corp. 's recent disclosure that it expects a net loss in wireless customers this quarter helped send the company 's PCS tracking stock below $ 2 on Wednesday for the first time .,it,expects a net loss in,wireless customers
110,Boruchin adds : `` The zealots who have been campaigning against cigarettes have trouble telling people that three cigars a week is dangerous to their health .,The zealots,have been campaigning against,cigarettes
111,The Stars have a team incentive plan in place that awards bonuses on a years-played basis .,The Stars,have,a team incentive plan
112,"Bensonhurst is a vintage Italian neighborhood , a place of tidy two-family brick homes adorned with Madonnas in the front yard and American flags snapping over the front doors .",American flags,snapping over,the front doors
113,One of life 's simple pleasures is guessing who 'll walk away with the VeeHee .,One of life 's simple pleasures,'ll walk away with,the VeeHee
114,"Ruiz hopes Lewis 's decision will give light heavyweight champion Roy Jones Jr. the impetus to take on Ruiz Dec. 7 on HBO , the idea being that the winner would fight the winner of the WBA title next spring .",Lewis 's decision,will give light heavyweight champion Roy Jones Jr. the impetus to take on Ruiz Dec. 7 on,HBO
115,"On Wednesday , FBI Director Louis Freeh told the Senate Judiciary Subcommittee on Technology , Terrorism and Government Information that the keys and export restrictions are needed by law enforcement to combat criminals in the information age .",FBI Director Louis Freeh,told,Terrorism
116,"He was so inspired by Snyder 's speech on how he made the program a success that when he learned Snyder had to hurry to the airport , Riley begged to go along for the ride .",he,made,a success
117,"In Norway , striking offshore oil workers forced state-owned oil company Statoil to shut down its 40,000 barrel-a-day Yme oil field in the North Sea .",state-owned oil company,to shut down,"its 40,000 barrel-a-day Yme oil field"
118,"That , he said , is what many of the POWs would like more than anything .",many of the POWs,would like,more
119,But he did n't fool me .,he,did n't fool,me
120,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff .",a megadose of New York attitude,is exaggerated in,this film
121,"For example , he wants to erect a multiplex theater and virtual-reality amusement park in Coney Island and is a finalist in the competition to choose a developer for the site of the New York Coliseum in Manhattan .",a multiplex theater and virtual-reality amusement park,is a finalist in,the competition
122,"It has outstanding stock options that could swell its roster of shares by 15 percent , and thus reduce earnings per share .",outstanding stock options,that could swell,its roster of shares
123,"They want news of the latest United Nations debate , bulletins on the Sudanese economy , inside dope on the recent political coup in Cambodia .",They,want,news of the latest United Nations debate
124,"That 's a lot of maybes in a sport where the right thing seldom happens , but with a shot at Mike Tyson having disappeared because of the sleight of hand of promoter Don King , Ruiz now knows he must turn in another direction if he wants the multimillion-dollar payday he 's been seeking for two years .",he,wants,the multimillion-dollar payday
125,"In fact , Fox , ABC and UPN are offering the same shows in the time slot now as they did a year ago .",they,did ago,a year
126,"I asked the Armenian native if the neighborhood kids or anybody else ever poked fun at the sign , which is basically a Bart Simpson dream come true .",anybody else,ever poked fun at,the sign
127,"I do n't know why I said it , but I did , and the secretary turns to me and says , ` You know , you 've got a point there . '",the secretary,turns to,me
128,"On the next play , Tuman , who had lined up on the left side , glided unchecked to the right and caught Griese 's pass for a 53-yard play to the Colorado 2. Two plays later , Chris Floyd 's dive for a 1-yard touchdown put Michigan ahead .",Tuman,had lined up on,the left side
129,"Beyond these practical considerations , there are other factors that can affect quality of life .",other factors,can affect,quality of life
130,"Investigators are clearly looking into whether executives misled investors about the financial well-being of the company and its future prospects , said Jacob Frankel , a former Securities and Exchange Commission lawyer now in private practice .",its future prospects,said in,private practice
131,Spokesmen for the SEC and the New York and Philadelphia exchanges declined to say whether they are investigating trading in Salomon 's stock .,they,are investigating trading in,Salomon 's stock
132,"Among the other companies that got a boost from restructurings , Sara Lee Corp. gained 17 percent for the week after announcing it will sell some business and cut costs to raise $ 3 billion for a stock buyback .",the other companies,got a boost from,restructurings
133,"Its commercial spine , 18th Avenue , is chock full of pork and pasta stores and the Italian colors of green , white and red everywhere .",Its commercial spine,(R-nsubj),"the Italian colors of green , white and red"
134,"She began her career as a chunky woman , awkward on stage and unsure of her musical direction .",She,began her career as,a chunky woman
135,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .,backers Stars general manager Bob Gainey,said,he
136,"Hydra , of Cambridge , Mass. , is named after a pond-dwelling creature that can grow two wholes after being sliced in half .",a pond-dwelling creature,can grow,two wholes
137,"Next up on the politics-and-calories calendar is a Buell dinner Monday for Chellie Pingree , the Dems ' Maine senatorial candidate .",the politics-and-calories calendar,is a Buell dinner Monday for,Chellie Pingree
138,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law .",These immigrants,deserve consideration under,the laws
139,"2. CHICKEN SOUP FOR THE TEENAGE SOUL , compiled by nn If the owner ca n't read the riot act after a game like that , when can he ?",the owner,ca n't read,the riot act
140,What the team did n't count on was that Boselli would have two more surgical procedures on his shoulder after he became a Texan .,on,would have two more surgical procedures on,his shoulder
141,"Lucas stopped in Atlanta recently to talk about `` Sweet Home Alabama , '' his new romantic comedy with Reese Witherspoon .",Lucas,stopped in,Atlanta
142,"For one thing , members of Congress and their staffs have a traditional `` defined benefit '' program , meaning that they know exactly what they 'll get upon retirement .",they,ll get upon,retirement
143,"He did n't quite understand what I was getting at , or so he claimed .",He,did n't quite understand what,I
144,"The couple was riding in a rented Mercedes-Benz , and the driver , trying to avoid the photographers ' harassment , crashed the car at high speed against a concrete pillar .",The couple,was riding in,a rented Mercedes-Benz
145,"BSA seized items from SM Summit in a raid on Aug. 12 and 13 . c.2002 SAN FRANCISCO CHRONICLE City Supervisor Tom Ammiano , who sponsored the law , said many of the problems were simply a matter of getting the new system up and running .",many,were,a matter
146,"The show is scheduled to be filmed in Austin till November , when MTV will decide whether to continue `` Austin Stories '' for a full season .",The show,is scheduled to be filmed in,Austin
147,Towers Financial was formed by one-time New York Post bidder Steven Hoffenberg .,Towers Financial,was formed by,one-time New York Post bidder Steven Hoffenberg
148,The country can cut benefits at a time when joblessness is rising and leave relatively unskilled workers to fend for themselves .,The country,can cut benefits at,a time
149,"The current El Nino , a complicated and vaguely understood series of phenomena that affect weather around the globe , is either the weather event of the century or an event whose bluster ca n't come close to living up to the super-hype preceding it .",a complicated and vaguely understood series of phenomena,affect weather around,the globe
150,"Syrian President Hafez Assad hopes the violence will pressure Israel into relinquishing the Golan Heights , land it captured in the 1967 war .",Israel,captured in,the 1967 war
151,The dollar often declines when U.S. Treasury officials express concern that Japan may be trying to boost its economy through exports .,U.S. Treasury officials,express that,Japan
152,"The drill has a keyless chuck , a built-in level for drilling straight holes and nonslip texturing over the whole drill body to provide a firm grip .",The drill,has,a built-in level
153,Those close to the company say Tigrett lost support on the board last year when the company took a big hit in the wake of a $ 15 million extravaganza at last year 's Summer Olympics .,Those close,say lost,support
154,"Although Charles Darwin had written in 1872 about the consistency of expressions in mammals , social scientists of the 1960s and 1970s believed expressions are learned through culture .",Charles Darwin,had written in,1872
155,"In the end , blacks and whites came , and , to hear many of them tell it , climbed over a lot of harsh terrain to get there .",it,climbed over,a lot of harsh terrain
156,"He stepped out of his Mercedes and stood among dozens of other stupefied commuters , all staring helplessly at the smoke and flames in the distance .",He,stepped out of,his Mercedes
157,Deputies said that as many as 57 deputies who were members of Fatah let Arafat know in a meeting Tuesday night that they intended to vote against him .,Arafat,know in,a meeting
158,Koplowitz 's next concert will be a more modest affair and presented indoors at Dance Theater Workshop in May .,Koplowitz 's next concert,will be,a more modest affair
159,I did n't stop living because I was diagnosed with HIV.,I,was diagnosed with,HIV
160,"That 's a lot of maybes in a sport where the right thing seldom happens , but with a shot at Mike Tyson having disappeared because of the sleight of hand of promoter Don King , Ruiz now knows he must turn in another direction if he wants the multimillion-dollar payday he 's been seeking for two years .",he,must turn in,another direction
161,"Ruiz hopes Lewis 's decision will give light heavyweight champion Roy Jones Jr. the impetus to take on Ruiz Dec. 7 on HBO , the idea being that the winner would fight the winner of the WBA title next spring .",Lewis 's decision,will give Jr. to take on,Ruiz Dec. 7
162,Graham threw four touchdown passes in the title game and set up Groza 's 16-yard winning field goal with 28 seconds left on a frozen field at Cleveland 's Municipal Stadium .,Groza 's 16-yard winning field goal,with seconds left on,a frozen field
163,I only smoke one .,I,smoke,one
164,"In fact , Fox , ABC and UPN are offering the same shows in the time slot now as they did a year ago .",ABC and UPN,are offering the same shows in,the time slot
165,"Instead of converging on the meeting place , Hall and Sax both approached from the same direction .",Sax,approached from,the same direction
166,That 's enough of a difference to entice pension funds into junk .,That,'s enough of,a difference
167,"For their part , investors kept selling off stocks in trading and deregulated power companies , spurred Monday by negative news for El Paso Corp. Better yet , Miller and Roy Oswalt have won 19 straight decisions , and since July 1 , they 're a combined 21-1 with a 2.41 ERA.",Miller,and Oswalt have won,19 straight decisions
168,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .,Gurney,boosts,backers Stars
169,A Georgia inventor has won a patent for a method of regiving items ordered online when they turn out to be white elephants .,A Georgia inventor,has won patent for,a method of regiving items
170,"For example , he wants to erect a multiplex theater and virtual-reality amusement park in Coney Island and is a finalist in the competition to choose a developer for the site of the New York Coliseum in Manhattan .",he,wants to erect,a multiplex theater and virtual-reality amusement park
171,"Inspired by the Cadillac Vison concept SUV shown at last year 's auto shows , the new Cadillac SRX will become one of the newest entrants into the fast-growing medium luxury utility segment , in which rival Lincoln is about to add its own Aviator , based on the Ford Explorer",rival Lincoln,is about to add,its own Aviator
172,"Last week , the Jets used some new alignments , including one in which John Abraham and Shaun Ellis lined up on one side and Mo Lewis rushed from the other .",Last week,Jets used,some new alignments
173,But Alea and Tabio use political strife as a broad backdrop on which to place the characters instead of making specific statements about revolution .,the characters,instead of making,specific statements
174,"He was back in Atlanta last October on a non-guaranteed training camp contract , but the Hawks released him so he could sign a guaranteed deal with Panathinaikos , a Greek team that he led to the Euroleague championship .",He,was back in,Atlanta
175,"A year ago , three-fifths of Americans said the government had done enough to protect them against another terrorist attack ; now just two-fifths do .",three-fifths of Americans,said,the government
176,"He was so inspired by Snyder 's speech on how he made the program a success that when he learned Snyder had to hurry to the airport , Riley begged to go along for the ride .",he,made when,he
177,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback .",several days,huddled,managing editor of Institutional Investor 's Americas edition
178,M2+CDs rose 3.0 percent in the April-June period .,M2+CDs,rose 3.0 percent in,the April-June period
179,"Ruiz hopes Lewis 's decision will give light heavyweight champion Roy Jones Jr. the impetus to take on Ruiz Dec. 7 on HBO , the idea being that the winner would fight the winner of the WBA title next spring .",Lewis 's decision,will give,Roy Jones Jr.
180,"I do n't know why I said it , but I did , and the secretary turns to me and says , ` You know , you 've got a point there . '",I,do n't know why,I
181,"Still , the agent said he advises clients who are at fault in minor fender benders where there are no personal injuries to inquire whether a private resolution is possible .",he,advises,clients
182,"They litter the road to redemption with chaos , contraband , broken marriages , jilted women and political aspirations , but there still is a ray of hope and happiness for the residents of a small Cuban town called Guantanamera .",They,litter,broken marriages
183,"So , 1,200-degree air is pumped back to the turbine blades from the compressor in order to cool the blades .","1,200-degree air",is pumped to,the turbine blades
184,But Dionne said he was skeptical about whether television advertising is so powerful .,Dionne,was,television advertising
185,"July 's exports surpassed June 's total of $ 24.39 billion , and were well ahead of the previous January benchmark of C$ 24.88 billion .",July 's exports,surpassed,June 's total of $ 24.39 billion
186,"Then the secretary tells me a second one hit the towers , and I said right out loud , ` It must be an Arab . '",I,said must,an Arab
187,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback .",managing editor of Institutional Investor 's Americas edition,named,editor
